campaign,type,value,role,status,confidence,first_seen,last_checked,notes
2026-08-04-cloudflare-clickfix,domain,enter-pverif-code.info,c2-gating,active,high,2026-08-04,2026-08-04,"Stage-1 gate; returns 'ok' once per victim token"
2026-08-04-cloudflare-clickfix,url,http://enter-pverif-code.info/p/b143d2530595a6b8a52694418e2edbe35405383d15e3397923ce0c747c25cfab,c2-gating,expired,high,2026-08-04,2026-08-04,"Per-victim token, session-scoped, already burned"
2026-08-04-cloudflare-clickfix,domain,ferncurrent14.com,payload-host,active,high,2026-08-04,2026-08-04,"Stage-2 loader host"
2026-08-04-cloudflare-clickfix,url,https://ferncurrent14.com/curl/a7ec41c89a3dc6bf3de47264b4a3013134c7273dd1aa379859c2149b7517f0b2,payload-host,active,high,2026-08-04,2026-08-04,"Stage-2 payload; piped to zsh, campaign-scoped path"
2026-08-04-cloudflare-clickfix,string,_7dcf=af7d6e2e6aa1,clipboard-marker,active,medium,2026-08-04,2026-08-04,"Session marker prepended to clipboard command"
2026-08-04-cloudflare-clickfix,behaviour,openssl base64 -d -A,obfuscation,active,medium,2026-08-04,2026-08-04,"Second decode layer; avoids the obvious 'base64 -d' string"
2026-08-04-cloudflare-clickfix,behaviour,curl -s <url> | zsh,execution,active,high,2026-08-04,2026-08-04,"Fileless stage-2 execution"
2026-08-04-cloudflare-clickfix,ip-dst,178.16.52.101,c2-gating-origin,active,high,2026-08-06,2026-08-06,"Origin IP of enter-pverif-code.info; Cloudflare DNS only, A record unproxied; AS202412"
2026-08-04-cloudflare-clickfix,ip-dst,158.94.208.87,c2-gating-origin,active,medium,2026-08-06,2026-08-06,"Origin IP of makeverizyjar.info; same AS202412 as the confirmed gate"
2026-08-04-cloudflare-clickfix,asn,AS202412,hosting,active,medium,2026-08-06,2026-08-06,"OMEGATECH-AS, Omegatech LTD; AS registered 2026-01-12; hosts both gate origins"
2026-08-04-cloudflare-clickfix,domain,grove-89.com,telemetry,active,high,2026-08-06,2026-08-06,"Conversion beacon; POST fires when victim pastes, before payload runs"
2026-08-04-cloudflare-clickfix,url,https://grove-89.com/api/metrics/run?event=pasted,telemetry,active,high,2026-08-06,2026-08-06,Paste-through counter per build
2026-08-04-cloudflare-clickfix,url,https://ferncurrent14.com/2kqYRM0DCrnyJgoS4gVLl_FHJRRdTUhGCbjyuYwpZ6c/DANTE/update,payload-host,active,high,2026-08-06,2026-08-06,Stage-3 Mach-O; <path>/<campaign>/update shape
2026-08-04-cloudflare-clickfix,sha256,29be0f56275f051181ea3ec37ddc3d3807cde34cb65de855709fae0e13786a40,payload,active,high,2026-08-06,2026-08-06,Stage-3 universal Mach-O loader stub
2026-08-04-cloudflare-clickfix,sha256,3873844f319ebbab08db2f27b6d7336a1d7d91ca65862d9470cd7300e4a3f207,payload,active,high,2026-08-06,2026-08-06,arm64 slice
2026-08-04-cloudflare-clickfix,sha256,3710bb59c25a1c7eaba2ab471876f223ed5d358fc08e979a2ff1ebeedf03e431,payload,active,high,2026-08-06,2026-08-06,x86_64 slice
2026-08-04-cloudflare-clickfix,md5,ab477021780e553be4271cb34bb8394b,payload,active,high,2026-08-06,2026-08-06,"Stage-3 universal Mach-O, MD5 for MalwareBazaar/YARAhub reference"
2026-08-04-cloudflare-clickfix,http-header,user (header name),header-name,active,medium,2026-08-06,2026-08-06,"Non-standard request header emitted by stage 2. Detect on the NAME. The observed VALUE is recorded in payload_analysis.md but deliberately not listed as an indicator: it was seen exactly once, and one sample cannot establish that a value is stable across builds."
2026-08-04-cloudflare-clickfix,http-header,BuildID (header name),header-name,active,medium,2026-08-06,2026-08-06,"Non-standard request header emitted by stage 2. Detect on the NAME. The observed VALUE is recorded in payload_analysis.md but deliberately not listed as an indicator: it was seen exactly once, and one sample cannot establish that a value is stable across builds."
2026-08-04-cloudflare-clickfix,string,DANTE,campaign-marker,active,medium,2026-08-06,2026-08-06,Campaign token in stage-3 URL path
2026-08-04-cloudflare-clickfix,pattern,setup-[0-9a-f]{40},signing-identifier,active,medium,2026-08-06,2026-08-06,"Ad-hoc code signature identifier, no Apple team ID"
2026-08-04-cloudflare-clickfix,path,/tmp/helper,staging,active,medium,2026-08-06,2026-08-06,Stage-3 drop location; 'update' also observed in this family
2026-08-04-cloudflare-clickfix,sha256,95ab5a61a0970410ada36ba843e55e270f38cb8e2eebf79254434948e11c870f,payload,active,high,2026-08-07,2026-08-07,"Stage-4 decrypted payload; run-only compiled AppleScript stealer"
2026-08-04-cloudflare-clickfix,md5,85ffd3ab8ed16a565046b0dd1dfe88a1,payload,active,high,2026-08-07,2026-08-07,"Stage-4 decrypted payload, MD5 for reference"
2026-08-04-cloudflare-clickfix,domain,grove53.com,c2,active,high,2026-08-07,2026-08-07,"Stage-4 C2 hardcoded in the payload; sibling of grove-89.com, same telemetry path"
2026-08-04-cloudflare-clickfix,ip-dst,161.35.146.120,c2,active,high,2026-08-07,2026-08-07,"Stage-4 C2 hardcoded in the payload, plain HTTP"
2026-08-04-cloudflare-clickfix,url,http://161.35.146.120/contact,exfiltration,active,high,2026-08-07,2026-08-07,"Multipart POST of /tmp/out.zip"
2026-08-04-cloudflare-clickfix,path,/zxc/kito,payload-path,active,high,2026-08-07,2026-08-07,"LaunchDaemon binary for com.apple.accountsd.helper"
2026-08-04-cloudflare-clickfix,path,/zxc/mdw,payload-path,active,high,2026-08-07,2026-08-07,"LaunchDaemon binary for com.apple.metadata.mds.worker"
2026-08-04-cloudflare-clickfix,path,/zxc/app.zip,payload-path,active,high,2026-08-07,2026-08-07,"Trojanised Ledger Wallet.app archive. Already public: identical name documented for AMOS since 2025-11"
2026-08-04-cloudflare-clickfix,path,/zxc/apptwo.zip,payload-path,active,high,2026-08-07,2026-08-07,"Trojanised Trezor Suite.app archive. Already public, see /zxc/app.zip"
2026-08-04-cloudflare-clickfix,path,/zxc/appex.zip,payload-path,active,high,2026-08-07,2026-08-07,"Trojanised Exodus.app archive. Already public, see /zxc/app.zip"
2026-08-04-cloudflare-clickfix,path,/Library/LaunchDaemons/com.apple.accountsd.helper.plist,persistence,active,high,2026-08-07,2026-08-07,"Root LaunchDaemon; real Apple service has no .helper suffix"
2026-08-04-cloudflare-clickfix,path,/Library/LaunchDaemons/com.apple.metadata.mds.worker.plist,persistence,active,high,2026-08-07,2026-08-07,"Root LaunchDaemon; real Apple service has no .worker suffix"
2026-08-04-cloudflare-clickfix,path,~/Library/Application Support/.com.apple.accountsd/AccountsHelper,persistence,active,high,2026-08-07,2026-08-07,"Hidden staging dir and payload binary"
2026-08-04-cloudflare-clickfix,path,~/Library/Application Support/.com.apple.metadata.mds/mdworker_shared,persistence,active,high,2026-08-07,2026-08-07,"Hidden staging dir and payload binary"
2026-08-04-cloudflare-clickfix,http-header,cl (header name),header-name,active,medium,2026-08-07,2026-08-07,"Third non-standard header. NOT our discovery: in a SigmaHQ AMOS rule since 2025-11-22"
2026-08-04-cloudflare-clickfix,http-header,cn (header name),header-name,active,medium,2026-08-07,2026-08-07,"Fourth non-standard header. NOT our discovery: named in the IRU AMOS analysis"
2026-08-04-cloudflare-clickfix,http-header,X-Partial (header name),header-name,active,medium,2026-08-07,2026-08-07,"Chunked-upload marker, stage-4 exfiltration"
2026-08-04-cloudflare-clickfix,string,FileGrabber/,staging,active,medium,2026-08-07,2026-08-07,"Collection staging directory. Already public: in a SigmaHQ AMOS rule since 2025-11-22"
2026-08-04-cloudflare-clickfix,token,vDFPDjjvSJDpItRN9EYMSf5pH6FKVYkuV1oQYIzDbp4,embedded-token,active,medium,2026-08-07,2026-08-07,"43-char base64url token embedded in stage-4; one build only"
2026-08-04-cloudflare-clickfix,token,IlAqO8RYp21zDy2y6s19oCASRxCini_G0BebbsfFtKg,embedded-token,active,medium,2026-08-07,2026-08-07,"43-char base64url token embedded in stage-4; one build only"
